2026-05-27 22:26:09,Crystal Palace,Rayo Vallecano,2.08,4.4,2.75
2026-05-27 22:26:09,Olimpia Asunción,Audax Italiano,1.5,5.1,3.9
2026-05-27 22:26:09,Vasco da Gama,Barracas Central,1.33,7.0,4.5
2026-05-27 22:26:09,Caracas FC,Botafogo,3.6,1.93,3.1
2026-05-27 22:26:09,Club Cienciano,CA Juventud,1.5,5.75,4.0
2026-05-27 22:26:09,Racing Club,Club Independiente Petrolero,1.11,13.0,7.0
2026-05-27 22:26:09,Clube Atlético Mineiro,Puerto Cabello,1.26,12.58,5.49
2026-05-27 22:26:09,Independiente del Valle,Rosario Central,2.16,3.6,3.31
2026-05-27 22:26:09,Libertad Asuncion,UCV FC,1.45,7.0,4.5
2026-06-16 19:53:34,IFK Värnamo,Helsingborgs IF,2.15,3.15,3.55
2026-06-16 19:53:34,Landskrona BoIS,Nordic United FC,2.38,2.8,3.5
2026-06-16 19:53:34,France,Senegal,1.49,7.45,4.65
2026-06-16 19:53:34,Iraq,Norway,14.0,1.25,6.6
2026-06-16 19:53:34,Fortaleza,América Mineiro,1.55,5.7,3.95
2026-06-16 19:53:34,Argentina,Algeria,1.44,8.65,4.7
2026-06-16 19:53:34,Austria,Jordan,1.36,9.5,5.4
2026-06-16 19:53:34,HJK Helsinki,FC Inter Turku,2.32,2.75,3.35
2026-06-16 19:53:45,IFK Värnamo,Helsingborgs IF,2.15,3.15,3.55
2026-06-16 19:53:45,Landskrona BoIS,Nordic United FC,2.38,2.8,3.5
2026-06-16 19:53:45,France,Senegal,1.49,7.45,4.65
2026-06-16 19:53:45,Iraq,Norway,14.0,1.25,6.6
2026-06-16 19:53:45,Fortaleza,América Mineiro,1.55,5.7,3.95
2026-06-16 19:53:45,Argentina,Algeria,1.44,8.65,4.7
2026-06-16 19:53:45,Austria,Jordan,1.36,9.5,5.4
2026-06-16 19:53:45,HJK Helsinki,FC Inter Turku,2.32,2.75,3.35
2026-06-16 19:55:03,IFK Värnamo,Helsingborgs IF,2.15,3.15,3.55
2026-06-16 19:55:03,Landskrona BoIS,Nordic United FC,2.38,2.8,3.5
2026-06-16 19:55:03,France,Senegal,1.49,7.45,4.65
2026-06-16 19:55:03,Iraq,Norway,14.0,1.25,6.6
2026-06-16 19:55:03,Fortaleza,América Mineiro,1.55,5.7,3.95
2026-06-16 19:55:03,Argentina,Algeria,1.44,8.65,4.7
2026-06-16 19:55:03,Austria,Jordan,1.36,9.5,5.4
2026-06-16 19:55:03,HJK Helsinki,FC Inter Turku,2.32,2.75,3.35
2026-06-16 20:00:52,Landskrona BoIS,Nordic United FC,2.32,2.7,3.4
2026-06-16 20:00:52,IFK Värnamo,Helsingborgs IF,2.02,2.9,3.35
2026-06-16 20:00:52,France,Senegal,1.49,7.45,4.65
2026-06-16 20:00:52,Iraq,Norway,14.0,1.24,7.0
2026-06-16 20:00:52,Fortaleza,América Mineiro,1.55,5.7,3.95
2026-06-16 20:00:52,Argentina,Algeria,1.44,8.65,4.7
2026-06-16 20:00:52,Austria,Jordan,1.36,9.5,5.4
2026-06-16 20:00:52,HJK Helsinki,FC Inter Turku,2.32,2.75,3.35
2026-06-16 20:00:52,Ilves Tampere,Jaro,1.72,4.1,3.75
